Mathematics,Chemistry,Biology,Physics,Geography,English,Field_of_Interest,Course
F,C,A,C,D,B,Computer,Electrical and Computer Engineering
F,D,A,F,B,B,Solar Electricity,Electrical and Renewable Energy
F,F,C,F,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,D,C,B,Solar Electricity,Electrical and Renewable Energy
C,D,C,F,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,F,D,C,F,Electronics,Electronics and Telecommunication Engineering
D,B,A,F,F,F,Computer,Electrical and Computer Engineering
B,A,F,A,D,D,Electronics,Electronics and Telecommunication Engineering
B,A,C,F,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,A,C,C,Electronics,Electronics and Telecommunication Engineering
F,C,C,F,D,B,Computer,Electrical and Computer Engineering
F,B,D,F,D,F,Computer,Electrical and Computer Engineering
F,D,B,F,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,A,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,B,F,F,B,C,Solar Electricity,Electrical and Renewable Energy
C,B,D,F,B,F,Networks,Electrical and Computer Engineering
D,B,F,B,F,B,Electronics,Electronics and Telecommunication Engineering
C,A,D,A,A,C,Solar Electricity,Electrical and Renewable Energy
C,C,C,C,C,A,Electronics,Electronics and Telecommunication Engineering
F,D,C,D,C,D,Computer,Electrical and Computer Engineering
B,A,F,B,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,C,F,A,F,Electronics,Electronics and Telecommunication Engineering
C,B,F,C,F,C,Networks,Electrical and Computer Engineering
A,C,A,C,B,C,Computer,Electrical and Computer Engineering
D,A,D,F,C,C,Computer,Electrical and Computer Engineering
A,B,F,F,A,D,Solar Electricity,Electrical and Renewable Energy
F,A,D,B,C,B,Networks,Electrical and Computer Engineering
B,D,A,A,B,C,Computer,Electrical and Computer Engineering
D,B,D,B,C,D,Networks,Electrical and Computer Engineering
A,C,F,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,C,C,A,B,Networks,Electrical and Computer Engineering
C,F,D,D,A,F,Solar Electricity,Electrical and Renewable Energy
D,C,D,F,A,B,Solar Electricity,Electrical and Renewable Energy
C,C,A,B,B,C,Electronics,Electronics and Telecommunication Engineering
A,B,B,C,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,C,B,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,F,A,A,F,Networks,Electrical and Computer Engineering
C,F,A,F,F,B,Solar Electricity,Electrical and Renewable Energy
F,D,F,A,C,A,Solar Electricity,Electrical and Renewable Energy
B,F,F,A,C,A,Solar Electricity,Electrical and Renewable Energy
D,A,D,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,B,A,C,C,B,Solar Electricity,Electrical and Renewable Energy
D,A,A,F,F,F,Electronics,Electronics and Telecommunication Engineering
F,C,C,D,A,A,Computer,Electrical and Computer Engineering
A,B,B,B,D,D,Solar Electricity,Electrical and Renewable Energy
F,D,F,A,C,D,Electronics,Electronics and Telecommunication Engineering
F,D,C,F,D,A,Electronics,Electronics and Telecommunication Engineering
C,A,C,B,B,A,Computer,Electrical and Computer Engineering
D,C,F,F,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,B,C,D,Solar Electricity,Electrical and Renewable Energy
C,F,D,F,A,D,Electronics,Electronics and Telecommunication Engineering
D,B,F,D,F,A,Electronics,Electronics and Telecommunication Engineering
C,F,A,F,C,C,Computer,Electrical and Computer Engineering
A,D,B,F,B,F,Electronics,Electronics and Telecommunication Engineering
F,D,D,A,B,C,Solar Electricity,Electrical and Renewable Energy
F,A,B,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,C,A,F,D,Electronics,Electronics and Telecommunication Engineering
B,B,C,F,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,F,D,A,A,Electronics,Electronics and Telecommunication Engineering
C,C,F,B,D,A,Electronics,Electronics and Telecommunication Engineering
B,B,F,A,F,C,Solar Electricity,Electrical and Renewable Energy
B,C,D,C,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,A,B,F,A,B,Networks,Electrical and Computer Engineering
F,B,C,D,B,F,Solar Electricity,Electrical and Renewable Energy
F,D,B,D,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,D,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,B,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,B,C,C,B,Networks,Electrical and Computer Engineering
C,D,F,C,C,B,Solar Electricity,Electrical and Renewable Energy
A,D,B,A,D,B,Networks,Electrical and Computer Engineering
F,F,B,B,A,C,Electronics,Electronics and Telecommunication Engineering
B,F,B,A,D,F,Computer,Electrical and Computer Engineering
C,D,A,A,C,B,Networks,Electrical and Computer Engineering
A,F,C,D,F,B,Electronics,Electronics and Telecommunication Engineering
C,D,C,A,F,A,Networks,Electrical and Computer Engineering
C,B,B,A,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,F,A,B,D,Computer,Electrical and Computer Engineering
D,A,F,B,B,A,Computer,Electrical and Computer Engineering
C,F,F,D,A,D,Electronics,Electronics and Telecommunication Engineering
A,F,C,F,F,B,Networks,Electrical and Computer Engineering
B,C,D,F,F,F,Networks,Electrical and Computer Engineering
B,C,B,F,D,D,Networks,Electrical and Computer Engineering
F,A,C,F,C,D,Electronics,Electronics and Telecommunication Engineering
F,F,F,D,A,D,Networks,Electrical and Computer Engineering
B,F,C,A,D,F,Computer,Electrical and Computer Engineering
C,C,C,F,B,A,Computer,Electrical and Computer Engineering
C,C,C,A,C,C,Solar Electricity,Electrical and Renewable Energy
D,D,F,F,A,F,Networks,Electrical and Computer Engineering
D,F,D,B,C,A,Networks,Electrical and Computer Engineering
F,F,A,A,B,B,Computer,Electrical and Computer Engineering
B,D,B,D,D,A,Computer,Electrical and Computer Engineering
C,F,B,B,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,C,B,F,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,D,D,D,A,Solar Electricity,Electrical and Renewable Energy
B,C,F,B,F,B,Computer,Electrical and Computer Engineering
A,C,A,A,D,B,Solar Electricity,Electrical and Renewable Energy
D,B,A,C,A,A,Networks,Electrical and Computer Engineering
D,A,C,C,B,F,Networks,Electrical and Computer Engineering
F,A,C,F,C,B,Computer,Electrical and Computer Engineering
B,D,F,F,B,D,Electronics,Electronics and Telecommunication Engineering
B,B,F,A,B,F,Solar Electricity,Electrical and Renewable Energy
A,F,F,D,F,A,Electronics,Electronics and Telecommunication Engineering
D,A,C,A,F,D,Networks,Electrical and Computer Engineering
A,B,D,F,A,D,Solar Electricity,Electrical and Renewable Energy
D,B,C,B,C,F,Networks,Electrical and Computer Engineering
A,A,C,A,D,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,A,A,D,D,Computer,Electrical and Computer Engineering
A,B,F,D,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,B,F,A,B,Solar Electricity,Electrical and Renewable Energy
A,B,F,A,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,D,B,D,B,Solar Electricity,Electrical and Renewable Energy
F,A,D,B,B,C,Electronics,Electronics and Telecommunication Engineering
A,F,F,C,A,A,Computer,Electrical and Computer Engineering
F,D,F,F,C,D,Electronics,Electronics and Telecommunication Engineering
B,C,C,B,B,D,Networks,Electrical and Computer Engineering
B,A,B,D,B,F,Computer,Electrical and Computer Engineering
D,B,C,F,A,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,A,B,A,D,Solar Electricity,Electrical and Renewable Energy
C,B,A,A,A,B,Computer,Electrical and Computer Engineering
D,D,D,F,A,F,Networks,Electrical and Computer Engineering
F,A,D,B,C,C,Electronics,Electronics and Telecommunication Engineering
A,D,B,A,A,F,Networks,Electrical and Computer Engineering
A,D,D,C,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,A,F,A,A,Solar Electricity,Electrical and Renewable Energy
C,D,B,F,C,C,Solar Electricity,Electrical and Renewable Energy
A,B,A,B,D,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,C,B,A,Solar Electricity,Electrical and Renewable Energy
F,B,F,D,F,A,Computer,Electrical and Computer Engineering
A,C,B,B,B,D,Computer,Electrical and Computer Engineering
F,D,C,B,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,C,D,D,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,B,B,D,C,B,Networks,Electrical and Computer Engineering
C,D,D,D,D,A,Solar Electricity,Electrical and Renewable Energy
B,B,A,D,F,F,Electronics,Electronics and Telecommunication Engineering
C,D,C,D,D,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,B,D,A,A,B,Networks,Electrical and Computer Engineering
C,A,F,A,C,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,F,D,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
F,F,A,C,A,A,Computer,Electrical and Computer Engineering
B,D,B,C,A,A,Solar Electricity,Electrical and Renewable Energy
B,A,D,D,F,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,C,A,A,D,A,Solar Electricity,Electrical and Renewable Energy
A,A,F,C,A,D,Networks,Electrical and Computer Engineering
D,D,F,A,A,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,F,B,D,F,Electronics,Electronics and Telecommunication Engineering
C,C,C,A,A,A,Computer,Electrical and Computer Engineering
F,D,C,D,F,A,Electronics,Electronics and Telecommunication Engineering
F,F,F,F,F,F,Computer,Unknown
F,A,B,D,D,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,F,C,B,B,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,F,D,A,F,C,Solar Electricity,Electrical and Renewable Energy
C,B,C,C,C,D,Computer,Electrical and Computer Engineering
F,C,D,D,C,F,Networks,Electrical and Computer Engineering
D,A,C,C,B,D,Electronics,Electronics and Telecommunication Engineering
A,F,F,A,F,D,Networks,Electrical and Computer Engineering
D,F,D,B,A,D,Computer,Electrical and Computer Engineering
B,C,B,D,B,F,Networks,Electrical and Computer Engineering
C,F,C,C,A,B,Computer,Electrical and Computer Engineering
C,F,C,D,C,B,Solar Electricity,Electrical and Renewable Energy
D,F,F,D,B,C,Solar Electricity,Electrical and Renewable Energy
A,F,D,C,F,D,Networks,Electrical and Computer Engineering
C,B,F,B,C,C,Networks,Electrical and Computer Engineering
D,B,D,D,F,D,Computer,Electrical and Computer Engineering
A,D,C,B,A,C,Solar Electricity,Electrical and Renewable Energy
D,A,C,B,F,A,Networks,Electrical and Computer Engineering
A,C,C,A,B,F,Computer,Electrical and Computer Engineering
F,D,C,C,A,D,Computer,Electrical and Computer Engineering
A,B,A,A,B,D,Networks,Electrical and Computer Engineering
B,B,C,F,A,D,Electronics,Electronics and Telecommunication Engineering
F,B,C,A,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,D,D,C,A,Computer,Electrical and Computer Engineering
F,B,C,D,B,B,Solar Electricity,Electrical and Renewable Energy
F,D,C,D,C,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,D,F,D,A,Computer,Electrical and Computer Engineering
D,F,C,B,F,C,Electronics,Electronics and Telecommunication Engineering
B,F,C,D,A,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,A,F,A,F,D,Solar Electricity,Electrical and Renewable Energy
C,B,A,B,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,A,D,A,C,C,Networks,Electrical and Computer Engineering
B,D,F,A,C,A,Computer,Electrical and Computer Engineering
A,A,B,D,B,C,Networks,Electrical and Computer Engineering
A,B,B,A,F,C,Electronics,Electronics and Telecommunication Engineering
C,D,A,F,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,D,B,B,D,A,Networks,Electrical and Computer Engineering
B,F,A,D,C,B,Electronics,Electronics and Telecommunication Engineering
A,D,B,D,F,A,Networks,Electrical and Computer Engineering
A,D,B,A,C,F,Solar Electricity,Electrical and Renewable Energy
F,A,F,A,C,F,Networks,Electrical and Computer Engineering
C,D,B,C,A,D,Computer,Electrical and Computer Engineering
D,C,A,C,C,B,Networks,Electrical and Computer Engineering
B,F,C,D,F,F,Networks,Electrical and Computer Engineering
A,F,C,D,A,C,Networks,Electrical and Computer Engineering
F,D,C,A,A,C,Networks,Electrical and Computer Engineering
C,A,A,F,C,F,Networks,Electrical and Computer Engineering
C,F,A,F,C,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,C,A,D,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,C,B,C,F,C,Solar Electricity,Electrical and Renewable Energy
B,D,C,C,F,D,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,D,F,B,C,Electronics,Electronics and Telecommunication Engineering
F,F,A,D,B,A,Computer,Electrical and Computer Engineering
C,F,D,A,F,F,Networks,Electrical and Computer Engineering
D,F,D,D,C,B,Networks,Electrical and Computer Engineering
C,A,A,C,A,C,Networks,Electrical and Computer Engineering
C,B,C,F,D,F,Solar Electricity,Electrical and Renewable Energy
F,C,F,D,C,D,Solar Electricity,Electrical and Renewable Energy
D,A,D,C,A,B,Electronics,Electronics and Telecommunication Engineering
A,C,C,C,F,B,Networks,Electrical and Computer Engineering
D,F,F,C,C,F,Solar Electricity,Electrical and Renewable Energy
A,C,D,D,D,F,Networks,Electrical and Computer Engineering
D,D,C,B,B,F,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,D,F,A,A,Networks,Electrical and Computer Engineering
D,B,C,C,C,A,Electronics,Electronics and Telecommunication Engineering
F,B,B,D,D,B,Electronics,Electronics and Telecommunication Engineering
A,C,B,A,C,F,Solar Electricity,Electrical and Renewable Energy
C,A,A,F,F,A,Networks,Electrical and Computer Engineering
F,A,F,A,A,B,Electronics,Electronics and Telecommunication Engineering
A,F,D,A,F,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
A,A,D,D,F,F,Solar Electricity,Electrical and Renewable Energy
C,B,C,B,B,A,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,A,F,D,F,B,Electronics,Electronics and Telecommunication Engineering
F,F,D,D,D,F,Solar Electricity,Unknown
C,D,F,F,A,B,Networks,Electrical and Computer Engineering
C,A,F,D,B,C,Computer,Electrical and Computer Engineering
B,A,B,F,C,B,Networks,Electrical and Computer Engineering
F,B,D,C,F,B,Networks,Electrical and Computer Engineering
C,C,D,F,C,C,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,D,A,D,B,D,Networks,Electrical and Computer Engineering
F,C,F,C,C,F,Computer,Electrical and Computer Engineering
D,F,C,C,D,C,Solar Electricity,Electrical and Renewable Energy
A,F,B,B,B,C,Solar Electricity,Electrical and Renewable Energy
B,C,A,D,A,F,Computer,Electrical and Computer Engineering
A,B,B,A,A,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
D,B,C,D,A,A,Computer,Electrical and Computer Engineering
C,B,A,A,A,F,Solar Electricity,Electrical and Renewable Energy
C,D,B,B,B,C,Computer,Electrical and Computer Engineering
F,F,C,D,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
B,F,A,B,B,D,Networks,Electrical and Computer Engineering
B,F,C,A,F,B,Networks,Electrical and Computer Engineering
F,D,A,F,B,A,Solar Electricity,Electrical and Renewable Energy
A,F,D,D,B,B,Domestic and Industrial Electricity,Electrical and Industrial Automation Engineering
C,C,D,C,B,A,Networks,Electrical and Computer Engineering
C,A,B,C,A,D,Networks,Electrical and Computer Engineering
B,D,F,B,D,D,Networks,Electrical and Computer Engineering
B,A,F,F,A,B,Electronics,Electronics and Telecommunication Engineering
F,C,C,C,D,F,Networks,Electrical and Computer Engineering
